지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
143,대구,2024-01-11,1.7,-2.9,610,7.3,1533,,,,,,,7.5,340,1656,4.6,290,1655,2.2,1938,270,-4.3,40,1422,66.9,4.4,1011.4,1020.8,6,1016,1553,1018.2,9.9,9,1200,1.98,12.45,,,,,,0,0,.6,-8.6,,,,,,,,,,1.6,2.3,,-{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-0930. {연무}0921-{연무}{강도0}1200-1215.,
143,대구,2024-01-12,3.7,-1.6,619,10.3,1436,,,,,,,10,270,1344,5.6,290,1459,2.2,1942,290,-7.5,19,1541,50.3,3.6,1011.1,1020,2323,1015.8,1459,1017.9,9.9,8.5,1200,1.9,11.25,,,,,,.5,.5,1.2,-5.4,,,,,,,,,,2.7,3.9,,{연무}0940-1120.,
143,대구,2024-01-13,2.9,-1.5,2359,8.7,1536,,,,,,,9.4,250,1110,6.1,270,1132,2.8,2406,270,-11.5,18,1505,35.6,2.6,1017.8,1027.5,2053,1019.9,1,1024.6,9.9,9.1,1200,2.03,12.05,,,,,,0,0,1.4,-5.5,,,,,,,,,,2.1,3,,,
143,대구,2024-01-14,4.9,-4.5,623,14.6,1519,2,,,,,.3,8.6,270,1415,5.3,270,1450,2.1,1822,270,-2.4,37,1434,61.4,5.4,1014.5,1026.9,12,1016.4,1604,1021.2,10,8.1,1200,1.95,11.12,,,,,,2.4,1.6,2.9,-8.1,,,,,,,,,,2.1,3.1,,{비}1720-1750. {비}1810-1815. {비}1905-1930. {비}2005-2055. {비}2155-2205. {박무}2213-{박무}{강도0}2400-,
143,대구,2024-01-15,2.1,-.9,719,6.5,1524,,,,,,,10.3,270,1301,5.8,270,525,3.7,3223,270,-11,21,1528,40.1,2.8,1019,1029.3,2352,1020,13,1025.9,10,9,1200,2.09,12.38,,,,,,0,0,1.5,-3,,,,,,,,,,2.5,3.6,,-{박무}-0024.,
143,대구,2024-01-16,1,-5.2,724,7.8,1530,,,,,,,7.6,290,22,4.5,290,204,1.5,1322,90,-10.7,26,3,42.9,2.8,1025.2,1034.4,1019,1029.1,9,1032.1,10,8.2,1200,1.94,11.07,,,,,,3.3,0,-.2,-10.1,,,,,,,,,,1.4,2,,{햇무리}1247- 1645.{채운}1645-1710.,
143,대구,2024-01-17,3.3,-1.9,108,6.7,1534,4.1,,,,,1,3.6,270,1329,2.4,250,1122,.9,807,320,-2.2,46,1148,68.8,5.4,1019.8,1032,16,1021.7,2355,1026.6,10,.5,1000,.69,3.47,,,,,,9.3,7.6,2.2,-6.3,,,,,,,,,,.7,.9,,{비}1625-1658. {박무}1640-1720. {비}1738-{비}{강도0}1800-1813. {박무}1745-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400- {비}1845-1905. {비}2020-{비}{강도0}2100-2103. {비}2115-2150. {비}2215-2335.,
143,대구,2024-01-18,6.3,4.5,1,7.3,1533,4,,,,,2.7,8.8,90,2358,5.4,90,2339,1.9,1622,110,3.6,69,2359,83.1,7.9,1016.1,1027.7,2346,1019.2,516,1022.9,10.1,0,1000,.13,.77,,,,,,10,8.3,5.3,3.8,,,,,,,,,,.7,1.1,,{비}0010-0055. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도1}1500-1540. {비}1225-{비}{강도0}1500-1540.,
143,대구,2024-01-19,6,4.9,2215,7.2,1,1.05,,,,,0,10.2,110,1240,6.7,90,1234,3.6,3152,110,.9,59,1216,70.6,6.5,1022.3,1030.6,1002,1027.4,23,1029.1,10.1,0,1200,.84,2.86,,,,,,9.5,8.1,4.6,4.3,,,,,,,,,,.9,1.4,,{비}2232-2335.,
143,대구,2024-01-20,5.4,3.7,2317,7.4,1000,15.42,,,,,11,9.8,110,1053,5.9,110,1014,2.8,2450,110,3.3,75,955,86.6,7.7,1018.4,1029.2,6,1022.9,1855,1025.2,10.1,0,1100,.22,1.52,,,,,,10,8.5,5,3.1,,,,,,,,,,.4,.6,,{비}0345-0445. {비}0715-0755. {비}1015-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}1805-1820. {박무}2040-{박무}{강도0}2100-2110. {박무}2325-2345.,
143,대구,2024-01-21,5.5,3.1,701,8.3,1509,3.58,,,,,.8,6.1,250,2352,4.5,270,2356,1.4,1203,110,2.6,64,1454,82.9,7.4,1017.1,1025.5,1103,1022.2,210,1023.9,10.1,0,1200,.91,4.76,,,,,,9.1,7.8,5.7,2,,,,,,,,,,1,1.4,,-{비}-0215. {박무}0520-{박무}{강도0}0600-0610. {비}2240-{비}{강도0}2400- {박무}2310-{박무}{강도0}2400-,
143,대구,2024-01-22,-1.5,-6.4,2353,4.5,1,1.75,,,,,.1,14.8,290,1545,8.9,290,1837,5.6,4796,290,-10,36,1449,53.6,3.1,1017.8,1027,2119,1022.7,1430,1024.7,10.1,8.5,1200,2.21,12.57,,,,,,5.1,4.8,.1,-7.2,,,,,,,,,,1.9,2.7,,-{박무}-0030. -{비}-0145.,
143,대구,2024-01-23,-6.2,-8.8,737,-2.1,1348,,,,,,,14.1,290,2334,8.8,290,1426,5.5,4734,290,-15.9,33,1349,47,1.8,1016.9,1026.4,213,1020.5,1513,1023.9,10.2,9,1200,2.14,12.92,,,,,,.9,.9,-5.2,-9.8,,,,,,,,,,1.7,2.4,,,
143,대구,2024-01-24,-5,-8.7,324,-.1,1455,,,,,,,13.9,320,26,8,270,8,4.4,3766,290,-14.3,32,1434,49,2.1,1017.6,1027.5,2359,1022.2,1511,1024.6,10.2,9.4,1200,2.18,13.39,,,,,,.1,.1,-3.5,-10.7,,,,,,,,,,1.7,2.4,,,
143,대구,2024-01-25,-2.2,-7,501,3.7,1530,,,,,,,8.4,270,1129,5.5,270,1133,3.2,2774,270,-15.1,20,1535,38.3,1.9,1020.6,1029.1,857,1025.5,1613,1027.6,10.2,9.6,1200,2.2,13.39,,,,,,.3,0,-2.4,-8.9,,,,,,,,,,2.2,3.2,,,
143,대구,2024-01-26,1.6,-2.7,356,7.1,1515,,,,,,,9.4,250,1055,5.3,290,525,3.3,2858,270,-8.7,33,1411,47,3.2,1021.4,1029.7,825,1026,1406,1028.2,10.2,9.5,1200,2.14,13.1,,,,,,0,0,-.3,-5.4,,,,,,,,,,2,2.9,,,
143,대구,2024-01-27,3,-3.1,738,9.1,1539,,,,,,,7.6,290,1427,4.9,250,1359,2.5,2176,270,-7.9,24,1534,48.8,3.4,1019.5,1028.8,747,1023.9,1558,1026.3,10.3,9.3,1200,2.18,13.26,,,,,,1.1,.8,.8,-6.8,,,,,,,,,,2.5,3.6,,{박무}0405-{박무}{강도0}0600-{박무}{강도0}0900-0910.,
143,대구,2024-01-28,2,-2.3,2359,6.7,1509,,,,,,,10.1,270,1500,5.6,270,1119,2.6,2271,270,-7,32,1442,52.9,3.6,1021.3,1031,2327,1025.7,212,1028.2,10.3,9.2,1200,2.16,13.21,,,,,,1.9,1.9,1.1,-6.7,,,,,,,,,,1.7,2.4,,,
143,대구,2024-01-29,.4,-5.2,731,7.8,1633,,,,,,,6.8,250,1201,4.8,270,1236,1.5,1305,250,-7.7,26,1550,58.5,3.4,1023.7,1032.1,754,1028.6,1508,1030.6,10.3,9.6,1200,2.23,14.11,,,,,,.3,0,-.3,-9.1,,,,,,,,,,1.7,2.5,,,
143,대구,2024-01-30,2.2,-5.7,737,11,1541,,,,,,,3.3,200,1343,2,230,1348,1,842,110,-5.6,33,1531,59.1,4.1,1022.4,1032.8,812,1026.5,2359,1029.3,10.4,9.1,1200,2.13,13.01,,,,,,2.9,2.4,1,-9.1,,,,,,,,,,1.7,2.4,,{박무}0440-0450. {박무}0520-{박무}{강도0}0600-{박무}{강도0}0900-0910. {연무}2055-{연무}{강도0}2100-2250. {연무}2325-{연무}{강도0}2400-,
143,대구,2024-01-31,7.9,2.7,1,15.4,1615,.75,,,,,0,4.5,180,1457,2.6,250,1250,1.1,953,110,-1.6,28,1531,53.3,5.5,1016.7,1026.5,1,1019.9,1540,1023.4,10.4,6.2,1300,2.04,10.98,,,,,,5.9,4.3,7.1,1.4,,,,,,,,,,2,2.9,,-{연무}-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-1230. {비}0410-0450. {비}2355-{비}{강도0}2400-,
143,대구,2024-02-01,6.3,3.5,2329,9.1,1221,.42,,,,,0,9.5,110,1732,6.8,90,1422,3,2580,110,-.5,41,1345,62.9,5.9,1018,1027.8,2151,1021.9,337,1024.7,10.4,.1,1100,1.12,5.5,,,,,,9.8,8.4,6,3.3,,,,,,,,,,1.4,2,,-{비}-0025. {연무}1130-{연무}{강도0}1200-1420.,
143,대구,2024-02-02,5.4,3.2,221,9.3,1511,,,,,,,6.8,90,102,4.4,110,57,3,2570,110,.5,54,1508,71.5,6.3,1021.1,1029.6,2348,1026,1353,1027.9,10.5,3.2,1400,1.93,9.18,,,,,,8.6,8.1,8,3,,,,,,,,,,1.4,2,,,
143,대구,2024-02-03,5.9,4.4,751,8.4,1418,6.17,,,,,2.1,7.6,90,1154,4.3,90,1222,2.7,2363,110,2.3,63,1431,78.5,7.2,1021.3,1030.6,704,1026,1603,1028.1,10.5,.7,1300,.64,4.46,,,,,,9.4,7,5.8,3.7,,,,,,,,,,.8,1.1,,{비}1750-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
143,대구,2024-02-04,5.9,3.9,645,8.8,1428,3.33,,,,,1.9,9.1,90,1849,5.7,110,1556,2.3,1962,110,3.1,67,1450,83.6,7.6,1019.3,1028,1046,1023.9,2345,1026.1,10.5,.3,1200,1.15,6.43,,,,,,9.5,8.9,6.6,2.8,,,,,,,,,,1,1.4,,-{비}-0115. {비}2155-{비}{강도0}2400- {박무}2305-{박무}{강도0}2400-,
143,대구,2024-02-05,5.4,3.5,2335,6.9,1037,17.67,,,,,12,10.4,110,1427,6.4,110,1604,3.5,3022,90,2.7,72,1632,82.9,7.5,1013.6,1025.1,2355,1016.7,642,1020.3,10.6,0,1300,.89,3.67,,,,,,9.9,8.6,5.7,3.1,,,,,,,,,,.8,1.1,,-{박무}-0230. -{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1610. {박무}0410-0440. {박무}0635-0640. {박무}0710-0720. {박무}0820-0830. {비}1655-1705. {비}1730-{비}{강도0}1800-1850.,
143,대구,2024-02-06,3.5,1.2,640,5.3,1556,1.33,,,,,0,5.1,110,842,3.5,110,134,2.2,1935,110,-.5,68,1500,75.5,5.9,1017.9,1026.7,940,1023.2,1548,1024.8,10.6,0,1100,.77,4.13,,,,,,10,8.6,4.2,.8,,,,,,,,,,.9,1.2,,{비}0520-{비}{강도0}0600-0640. {박무}0610-0620.,
143,대구,2024-02-07,3.7,.5,707,8,1504,,,,,,,5.8,340,943,3.8,290,249,2.1,1812,320,-4.3,37,1452,57.1,4.5,1015.8,1024.8,854,1020.4,1545,1022.6,10.6,9.7,1200,2.27,14.53,,,,,,2.9,2.6,4.5,-1.9,,,,,,,,,,1.7,2.4,,,
143,대구,2024-02-08,2.6,-2.6,732,9.6,1549,,,,,,,6.7,270,1220,4.3,270,1225,1.5,1269,270,-4.8,31,1539,61.6,4.3,1014.4,1023.3,820,1018.8,1623,1021.2,10.6,9.6,1200,2.36,14.45,,,,,,3,0,3.3,-6.2,,,,,,,,,,1.9,2.8,,{박무}0523-0550. {박무}0606-{박무}{강도0}0900-0945. {연무}0940-1050. {연무}2240-2250. {연무}2340-{연무}{강도0}2400-,
143,대구,2024-02-09,3.3,-2.3,745,9.7,1515,,,,,,,7.8,270,2327,5.1,290,2330,2.2,1877,290,-6.3,21,1454,54.1,3.9,1014.8,1023,853,1018.9,1519,1021.5,10.7,9.1,1200,2.43,14.98,,,,,,.3,.3,3.2,-5.8,,,,,,,,,,2.7,3.8,,-{연무}-{연무}{강도0}0300-0407. {박무}0402-{박무}{강도0}0600-{박무}{강도0}0900-0920. {연무}0915-1045.,
143,대구,2024-02-10,3.8,-1.4,734,9.2,1559,,,,,,,8.8,290,30,5.8,290,38,2.5,2176,290,-5.2,29,1620,53.4,4.2,1016.7,1025,945,1021.4,1557,1023.5,10.7,9.6,1300,2.24,13.83,,,,,,1.4,1.4,3.3,-5.8,,,,,,,,,,1.9,2.8,,{연무}1910-{연무}{강도0}2100-{연무}{강도0}2400-,
143,대구,2024-02-11,3.1,-2.5,738,8.2,1501,,,,,,,12.3,320,1454,8.1,290,1453,2.5,2156,290,-4.6,35,1128,59.3,4.3,1017.3,1027.4,2345,1020.9,1414,1024.1,10.7,7.7,1100,2.09,11.76,,,,,,.9,.8,1.9,-7.4,,,,,,,,,,1.9,2.8,,{박무}0207-{박무}{강도1}0300-{박무}{강도1}0600-0850. -{연무}-0212. {연무}0845-{연무}{강도0}0900-0940. {연무}1150-{연무}{강도0}1200-{연무}{강도0}1500-1640. {연무}2210-{연무}{강도0}2400-,
143,대구,2024-02-12,4.3,-2.8,730,13.5,1623,,,,,,,6,270,23,3.8,290,16,1.3,1118,290,-5.9,16,1610,52.4,4,1022.9,1032.3,823,1027.2,1700,1029.7,10.8,9.8,1200,2.45,15.63,,,,,,0,0,4.1,-6.8,,,,,,,,,,2.4,3.4,,-{연무}-{연무}{강도0}0300-0525. {박무}0520-{박무}{강도0}0600-{박무}{강도0}0900-0930. {연무}0925-{연무}{강도0}1200-1220.,
143,대구,2024-02-13,8.3,-.9,625,18.2,1534,,,,,,,7.2,250,1308,5,270,1332,1.5,1275,270,.6,35,1608,61.3,6.5,1020.1,1029.7,124,1023.2,1616,1026.8,10.8,10,1200,2.41,15.42,,,,,,0,0,6.2,-5.6,,,,,,,,,,2.6,3.6,,{박무}0515-{박무}{강도0}0600-{박무}{강도0}0900-0930. {연무}0925-1150.,
143,대구,2024-02-14,10.6,5.1,257,19.2,1626,2.5,,,,,.8,4.3,270,1628,2.6,180,1731,.8,708,90,7.3,56,1627,81.5,10.4,1015.8,1026.2,6,1019.3,1600,1022.4,10.8,3.2,1300,1.77,8.68,,,,,,5.4,1.9,9.3,.7,,,,,,,,,,1.3,1.8,,{비}0955-{비}{강도0}1200-1225. {박무}1005-{박무}{강도0}1200-1330. {박무}2245-{박무}{강도0}2400-,
143,대구,2024-02-15,8.5,3.4,2357,17.8,1248,,,,,,,14.7,270,1521,8.2,270,1524,2.8,2404,290,4.5,58,1258,77.3,8.8,1011.3,1024.7,2256,1011.3,1258,1018,10.9,2.3,1100,2.2,7.34,,,,,,6.6,4.9,7.8,1.9,,,,,,,,,,1.6,2.3,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{시정(미만)}{1km}{낮은안개}0940-{시정(미만)}{0.5km}{낮은안개}0941-{시정(미만)}{0.2km}{낮은안개}0943-{시정(이상)}{0.2km}{낮은안개}0947-{시정(이상)}{0.5km}{낮은안개}0956-{시정(이상)}{1km}{박무}1005-1143.,.42
143,대구,2024-02-16,4.6,.3,639,10,1544,,,,,,,6.1,90,1132,3.6,110,412,1.6,1391,110,-3.3,37,1544,58.3,4.8,1017.9,1027.8,840,1022.1,1651,1024.7,10.9,8.4,1200,2.55,16,,,,,,3.1,3.1,7,-3.6,,,,,,,,,,2.1,3,,,
143,대구,2024-02-17,5.8,-2,704,15.4,1610,,,,,,,4.3,270,1409,2.9,270,1622,1.1,973,110,-2.2,24,1622,60.9,5.2,1015.6,1024.7,832,1019.8,1506,1022.4,10.9,10.3,1200,2.53,16.74,,,,,,0,0,6.1,-5.6,,,,,,,,,,2.2,3.1,,{박무}0745-0805.,
143,대구,2024-02-18,8.2,-1.3,712,14.5,1256,5.83,,,,,5.1,6.3,110,2309,3.8,110,2308,1.4,1246,110,3.9,44,1311,76.5,8.7,1013.8,1024.2,816,1015.1,2324,1020.5,11,3.6,1100,2.14,8.77,,,,,,6.4,5.5,6,-4.6,,,,,,,,,,1.2,1.8,,{박무}0428-{박무}{강도0}0600-{박무}{강도0}0900-0905. {비}1810-{비}{강도0}2100-{비}{강도0}2400- {박무}1820-{박무}{강도0}2100-{박무}{강도1}2400-,
143,대구,2024-02-19,14.7,12.3,406,18.8,1453,10.37,,,,,14.4,6.2,110,549,4.1,110,646,2.1,1779,110,12.7,75,1806,88.9,14.8,1004.9,1016.1,2327,1008,1425,1011.3,11,.3,1300,1.32,5.4,,,,,,7.1,6.6,14.1,9.3,,,,,,,,,,1.1,1.5,,-{비}-{비}{강도0}0300-0543. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도1}1200-1350. {비}0616-{비}{강도0}0900-1030. {비}1845-1910. {박무}1850-1904.,
143,대구,2024-02-20,7.5,5.5,2024,13,1,9.53,,,,,3.9,12,90,1104,7.4,90,1052,4.1,3546,110,5.2,77,1314,86,8.9,1016.7,1026.3,2105,1016,1,1023.4,11.1,0,1200,.38,1.63,,,,,,9.6,8,7.2,5,,,,,,,,,,.7,.9,,{비}0425-0445. {비}0810-0830. {비}1230-1235. {비}1513-{비}{강도0}1800-{비}{강도0}2400- {박무}1610-1640. {박무}1705-1720. {박무}1905-1910. {박무}2005-2010.,
143,대구,2024-02-21,5.1,3.6,2352,,,20.05,,,,,4.9,12,90,520,7,90,522,4.3,3690,110,3.3,78,1609,88.8,7.8,1015.6,1025.1,48,,,1022.4,11.1,0,1500,.27,1.87,,,,,,10,8.9,5.5,3.2,,,,,,,,,,.4,.6,,-{비}-0015. {비}0055-0120. {비}0245-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-1020. {비}1120-{비}{강도0}1200-1230. {박무}1320-1405. {비}1322-{비}{강도0}1500-{이슬비}1520-{이슬비}{강도0}1800-{비}1950-{비}{강도0}2100-{비}{강도0}2400- {박무}2050-{박무}{강도0}2100-2110. {박무}2345-{박무}{강도0}2400-,
143,대구,2024-02-22,3,2,2031,4.5,1426,13.33,,,,,1.6,7.8,70,1532,5.2,90,946,3.2,2764,110,.3,67,1624,82.5,6.3,1020.1,1029.3,2227,1022.5,17,1026.9,11.1,0,1200,.55,2.92,,,,,,10,7.9,4.1,1.3,,,,,,,,,,.7,1,,-{박무}-0020. -{비}-{비}{강도0}0300-{이슬비}0320-{비}0410-{비}{강도0}0600-0650. {이슬비}0850-{이슬비}{강도0}0900-{이슬비}{강도0}1200-1250. {비}1820-{진눈깨비}1945-2050.,
143,대구,2024-02-23,3,1.2,739,5.5,1317,4.42,,,,,.3,8.8,70,2343,5.3,110,1429,2.6,2279,90,-2,57,1300,70.6,5.3,1023.5,1033.5,2141,1027.6,331,1030.4,11.2,0,1200,.91,4.94,,,,,,9.9,8.8,3.7,.7,,,,,,,,,,1.2,1.6,,{눈}0150-{눈}{강도0}0300-0315. {눈}0550-{눈}{강도0}0600-{진눈깨비}0640-{눈}0750-0850.,
143,대구,2024-02-24,3.6,1.9,2332,6.4,1344,4.5,,,,,1.3,9.9,70,1436,6.1,110,1511,2.8,2387,90,-2.4,53,1244,65.8,5.2,1022.6,1032.9,254,1025.2,2357,1029.4,11.2,.5,1300,1.61,8.03,,,,,,9.9,8.8,4.5,1.6,,,,,,,,,,1.2,1.7,,{비}1930-{비}{강도0}2100-{비}{강도0}2400- {박무}2239-{박무}{강도0}2400-,
143,대구,2024-02-25,4.2,1.5,107,8.3,1603,8.58,,,,,1.7,6.9,290,1717,4.5,290,1717,2,1732,270,1.1,63,1604,81.6,6.6,1016.5,1025.4,21,1020.9,1450,1023.3,11.2,.3,1300,1.08,7.48,,,,,,9.9,8,5.7,1,,,,,,,,,,1,1.5,,-{박무}-0130. -{비}-{비}{강도0}0300-0420. {비}0615-{눈}0830-{진눈깨비}0855-{진눈깨비}{강도0}0900-{비}0915-1030.,
143,대구,2024-02-26,5.1,2.7,312,9.3,1413,,,,,,,8.4,110,1604,5.6,110,1621,2.1,1836,110,-.7,45,1541,67.3,5.8,1020.8,1030.4,2347,1024.9,1,1027.6,11.3,1.8,1300,1.83,9.08,,,,,,7.1,6.5,5.9,-.5,,,,,,,,,,1.5,2.1,,{달코로나}0250-0330.,
143,대구,2024-02-27,2.6,-1,641,6.7,1523,,,,,,,6.4,110,1429,4.2,140,1435,1.8,1576,110,-2.9,46,1448,69.1,5,1024.9,1033,925,1030.2,20,1031.8,11.3,2.5,1500,1.34,8.17,,,,,,4.8,2.5,2.7,-4.1,,,,,,,,,,1.2,1.8,,,
